cluster_id,frame_id,color_marker,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20
0,3,0,0.9212975548269213,0.8230294682874127,0.7999327395008019,0.2969055984662353,0.2741465420432153,0.28755547474544707,0.22309846395223848,0.3663190348582598,0.3025891410899701,0.2809434572434387,0.24305971800818815,0.8131736514186196,0.7557077055661373,-1,0.6905400596470795,0.5879164283350721,0.552207227076458,0.6895956120401012,0.1775389506631529,-1
1,3,1,0.373364079518864,0.2891169249336157,0.31257952044705306,0.2929022748680905,0.2655316518737815,0.745704885584062,0.5848294499342775,0.9291785375216752,0.7712550420592016,0.6922116316553013,0.7224643585278336,0.31483623898276597,0.2961847323219413,-1,0.24002239064531888,0.25306563669147586,0.34199294913540806,0.3315843136639512,-1,-1
2,3,0,-1,-1,0.21346096876789064,-1,-1,-1,0.30037373239822046,-1,-1,0.2750790337167087,-1,-1,0.8142701141786357,-1,-1,0.7962298376062361,-1,-1,-1,-1
3,3,1,-1,-1,0.18470563390389402,-1,-1,-1,0.9319941494241032,-1,-1,0.8493402679889478,-1,-1,0.14967240106178947,-1,-1,0.18520983790006026,-1,-1,-1,-1
0,4,0,0.9212973871191178,0.8230290911791908,0.7999326936951253,0.29690444270318683,0.27414533778267275,0.28755500030137154,0.2230971128608924,0.36631768454134606,0.30258790865013363,0.2809429904537275,0.24305866313219773,0.8131740143477194,0.7557087070796734,-1,0.6905401612550692,0.5879170723005485,0.5522097229147679,0.6895979947530915,0.17762182562948592,-1
1,4,1,0.3733643382937966,0.2891174479208249,0.312580010803007,0.2929029798294314,0.26553241975793995,0.7457059934979018,0.5848316861776022,0.9291785667680343,0.7712558247864588,0.6922131352892172,0.7224671986679596,0.31483693488627934,0.2961864683252201,-1,0.2400237368823579,0.25306759698066417,0.3419932208653308,0.3315845896922134,-1,-1
2,4,0,-1,-1,0.21345978760963544,-1,-1,-1,0.3003719090113006,-1,-1,0.27507714440598807,-1,-1,0.8142722363537801,-1,-1,0.7962319127642719,-1,-1,-1,-1
3,4,1,-1,-1,0.1847056214445907,-1,-1,-1,0.9319940025915565,-1,-1,0.8493414849230445,-1,-1,0.14967056510553298,-1,-1,0.18520807867326616,-1,-1,-1,-1
0,5,0,0.9189579949443564,0.8177546153069777,0.793963427974631,0.27602439785829946,0.25258951805469093,0.26641007240826325,0.20001491993698517,0.3475207515636156,0.28188765621790457,0.25956511100203256,0.23890402823671208,0.8075539703644916,0.7483725984700169,-1,0.6812618756116077,0.5754933139248775,0.538781283545044,0.6802854973824286,0.1458817212592176,-1
1,5,1,0.3734159391720642,0.2891588829125734,0.312625888705094,0.2929295452687319,0.26555502311933943,0.745661429712265,0.5847623774559394,0.9291575377139644,0.7711478572390082,0.6921224398672824,0.7223745985394225,0.3148753686335104,0.2962227814064189,-1,0.2399853702769283,0.253002678743724,0.3420278951614968,0.33166362620582696,-1,-1
2,5,0,-1,-1,0.21358718973733537,-1,-1,-1,0.3005623687241683,-1,-1,0.2752414432914467,-1,-1,0.8141616327977192,-1,-1,0.7959810702205173,-1,-1,-1,-1
3,5,1,-1,-1,0.18479598890833446,-1,-1,-1,0.9319604955784961,-1,-1,0.8492278751339557,-1,-1,0.14973285944474857,-1,-1,0.18527450330359965,-1,-1,-1,-1
0,6,0,0.9189550126168039,0.8176452535574937,0.7937997764787603,0.27612243913244683,0.2526794585108673,0.266608675934531,0.20005370274808304,0.34777088164309095,0.28206506805429055,0.2594886604381087,0.27496402323192165,0.8070641046006712,0.7478203232629714,-1,0.6806629062210279,0.5741762158236369,0.5379390280596336,0.6796258228128897,0.21019675446157357,-1
1,6,1,0.3737209383577227,0.28940426871534775,0.31289537602452167,0.2930578159933909,0.2656485342871739,0.7453315343104006,0.5842222631210163,0.9289942830638551,0.7703005428627158,0.6914111019318078,0.7217127204511485,0.31508348443420325,0.29641750635283903,-1,0.23962108275981028,0.2525537216206156,0.34218714279465495,0.3321451591737967,-1,-1
2,6,0,-1,-1,0.21448127276451978,-1,-1,-1,0.30189529275736715,-1,-1,0.2763981625191404,-1,-1,0.8133053301528108,-1,-1,0.7941401652066123,-1,-1,-1,-1
3,6,1,-1,-1,0.18544835170069537,-1,-1,-1,0.9316890581768638,-1,-1,0.848358393921401,-1,-1,0.15014302151112513,-1,-1,0.18574749373587957,-1,-1,-1,-1
0,7,0,0.9189550126168039,0.8176452535574937,0.7937997764787603,0.27612243913244683,0.2526794585108673,0.266608675934531,0.20005370274808304,0.34777088164309095,0.28206506805429055,0.2594886604381087,0.27496402323192165,0.8070641046006712,0.7478203232629714,-1,0.6806629062210279,0.5741762158236369,0.5379390280596336,0.6796258228128897,0.21019675446157357,-1
1,7,1,0.3737209383577227,0.28940426871534775,0.31289537602452167,0.2930578159933909,0.2656485342871739,0.7453315343104006,0.5842222631210163,0.9289942830638551,0.7703005428627158,0.6914111019318078,0.7217127204511485,0.31508348443420325,0.29641750635283903,-1,0.23962108275981028,0.2525537216206156,0.34218714279465495,0.3321451591737967,-1,-1
2,7,0,-1,-1,0.21448127276451978,-1,-1,-1,0.30189529275736715,-1,-1,0.2763981625191404,-1,-1,0.8133053301528108,-1,-1,0.7941401652066123,-1,-1,-1,-1
3,7,1,-1,-1,0.18544835170069537,-1,-1,-1,0.9316890581768638,-1,-1,0.848358393921401,-1,-1,0.15014302151112513,-1,-1,0.18574749373587957,-1,-1,-1,-1
0,8,0,0.9189469092942909,0.817359374168485,0.793371826938428,0.2762851114582388,0.2528201861341631,0.26704005001500364,0.20007325158790035,0.3483214742977709,0.28243193184889304,0.259205908961424,0.6279159505854388,0.8058105100376589,0.7464148982460315,-1,0.6791416103453781,0.5708435202083602,0.5356972100744933,0.6779387504030403,0.12561489073304805,-1
1,8,1,0.374388878610535,0.289927959498616,0.31346628258129433,0.29326574617483847,0.2657720309647199,0.744503270115669,0.5827974968797527,0.9285608624367555,0.7680942407384593,0.6895769800401693,0.7200892829550235,0.3154993363937647,0.2967942317969781,-1,0.23860095076375495,0.25147936186668457,0.34247149954406686,0.3332333425769843,-1,-1
2,8,0,-1,-1,0.18739593028396884,-1,-1,-1,0.26392492142783275,-1,-1,0.24148632911733886,-1,-1,0.7014156478887803,-1,-1,0.6828067461905424,-1,-1,-1,-1
3,8,1,-1,-1,0.24975129733281964,-1,-1,-1,0.9363088898456797,-1,-1,0.8579902105191597,-1,-1,0.21613479797865348,-1,-1,0.2496232636134968,-1,-1,-1,-1
0,9,0,0.9189298094716812,0.8168109312690592,0.7925834701696771,0.2761418406443037,0.2526337868480726,0.2674271416284083,0.19971678786457112,0.34886308546407063,0.28265462506841815,0.2582900409205828,0.6232071311283134,0.8036132613965126,0.7439831104855735,-1,0.6764915161466886,0.5650950035186488,0.5323640628665259,0.6749284541402768,-1,-1
1,9,1,0.3750415570075774,0.2903684029007352,0.313931351867793,0.293080855918753,0.265462908391424,0.7431158534066776,0.5801182775842221,0.9277298789709134,0.7640295429366658,0.6862777355752798,0.717528221406688,0.31568214431280095,0.2969015986269633,-1,0.23635086219908785,0.24989426526319483,0.34237449303878137,0.3344572404611501,-1,-1
2,9,0,-1,-1,0.18986564619768012,-1,-1,-1,0.26764175995136086,-1,-1,0.2446163853224134,-1,-1,0.6959034458710346,-1,-1,0.6744930438825506,-1,-1,-1,-1
3,9,1,-1,-1,0.2539036127897142,-1,-1,-1,0.9352888095012603,-1,-1,0.8547078996467182,-1,-1,0.21606199953967414,-1,-1,0.253195793892055,-1,-1,-1,-1
0,10,0,0.9189298094716812,0.8168109312690592,0.7925834701696771,0.2761418406443037,0.2526337868480726,0.2674271416284083,0.19971678786457112,0.34886308546407063,0.28265462506841815,0.2582900409205828,0.6232071311283134,0.8036132613965126,0.7439831104855735,-1,0.6764915161466886,0.5650950035186488,0.5323640628665259,0.6749284541402768,-1,-1
1,10,1,0.3750415570075774,0.2903684029007352,0.313931351867793,0.293080855918753,0.265462908391424,0.7431158534066776,0.5801182775842221,0.9277298789709134,0.7640295429366658,0.6862777355752798,0.717528221406688,0.31568214431280095,0.2969015986269633,-1,0.23635086219908785,0.24989426526319483,0.34237449303878137,0.3344572404611501,-1,-1
2,10,0,-1,-1,0.18986564619768012,-1,-1,-1,0.26764175995136086,-1,-1,0.2446163853224134,-1,-1,0.6959034458710346,-1,-1,0.6744930438825506,-1,-1,-1,-1
3,10,1,-1,-1,0.2539036127897142,-1,-1,-1,0.9352888095012603,-1,-1,0.8547078996467182,-1,-1,0.21606199953967414,-1,-1,0.253195793892055,-1,-1,-1,-1
0,11,0,0.9189064812886052,0.8158627323663665,0.7913390376746755,0.27512011238534545,0.25153332714044163,0.2673047757918524,0.19845199601903404,0.34886357309832877,0.28219360147094735,0.25612809568997674,0.7351256437636018,0.8003425795082845,0.7404185331354112,-1,0.6725891666932523,0.5483341121363788,0.5285204556216756,0.6703270409800532,-1,-1
1,11,1,0.37935381014301456,0.29502900410040156,0.31835974783047083,0.2966645579120311,0.26926629818524733,0.7429673411651513,0.5787324141284114,0.9268859689911099,0.7592729459968468,0.6826438480652482,0.7162371659642923,0.3196530425617657,0.29963731051799497,-1,0.23746535034694521,0.25331540823912596,0.3457150268957989,0.33956823146865583,-1,-1
2,11,0,-1,-1,0.1929706236674602,-1,-1,-1,0.27231068228257277,-1,-1,0.2473105158884228,-1,-1,0.6879932199930336,-1,-1,0.6609042523688982,-1,-1,-1,-1
3,11,1,-1,-1,0.25981898017377647,-1,-1,-1,0.9337396854684419,-1,-1,0.8498965594376835,-1,-1,0.21568656328631153,-1,-1,0.25316330826399086,-1,-1,-1,-1
0,12,0,0.9188676302813056,0.8150568369418008,0.4364340931942691,0.2764187275651848,0.25219621344550175,0.27002942746467257,0.19997807135034382,0.35112611714633507,0.2839156884952253,0.2559946096222749,0.7334846742411878,0.7965300092324599,0.7364442632285203,-1,0.6687317702525408,0.5253469025159387,0.5269791956089541,0.6652548021873828,-1,-1
1,12,1,0.36604807271439554,0.30200233774108737,0.3239097175101177,0.3020591404261766,0.27534931468763646,0.7436478400710639,0.577586804352346,0.9257893905522954,0.7529798408781625,0.6780296436816253,0.7159733224594527,0.32557011316035056,0.3023938789292236,-1,0.2399741637883655,0.2607607902044816,0.35169321473067,0.3461588983426465,-1,-1
2,12,0,-1,-1,0.19642734087833427,-1,-1,-1,0.27749761377981674,-1,-1,0.24924564652271636,-1,-1,0.6689223961609346,-1,-1,0.6434195304974335,-1,-1,-1,-1
3,12,1,-1,-1,0.2674778883845377,-1,-1,-1,0.9315853436793494,-1,-1,0.8434241311624809,-1,-1,0.2147776862545786,-1,-1,0.2484040642142344,-1,-1,-1,-1
0,13,0,0.9188676302813056,0.8150568369418008,0.4364340931942691,0.2764187275651848,0.25219621344550175,0.27002942746467257,0.19997807135034382,0.35112611714633507,0.2839156884952253,0.2559946096222749,0.7334846742411878,0.7965300092324599,0.7364442632285203,-1,0.6687317702525408,0.5253469025159387,0.5269791956089541,0.6652548021873828,-1,-1
1,13,1,0.36604807271439554,0.30200233774108737,0.3239097175101177,0.3020591404261766,0.27534931468763646,0.7436478400710639,0.577586804352346,0.9257893905522954,0.7529798408781625,0.6780296436816253,0.7159733224594527,0.32557011316035056,0.3023938789292236,-1,0.2399741637883655,0.2607607902044816,0.35169321473067,0.3461588983426465,-1,-1
2,13,0,-1,-1,0.19642734087833427,-1,-1,-1,0.27749761377981674,-1,-1,0.24924564652271636,-1,-1,0.6689223961609346,-1,-1,0.6434195304974335,-1,-1,-1,-1
3,13,1,-1,-1,0.2674778883845377,-1,-1,-1,0.9315853436793494,-1,-1,0.8434241311624809,-1,-1,0.2147776862545786,-1,-1,0.2484040642142344,-1,-1,-1,-1
0,14,0,0.9196651024672247,0.8173708339527459,0.31356595085291206,0.29365692349753747,0.26868289340665563,0.28911125406557703,0.21948486478843646,0.36767320816710114,0.30062734499978455,0.271980413344673,0.7377849082961712,0.795518945544484,0.7364020163125242,-1,0.6647202228613315,0.685545349925413,0.5371047504976242,0.6655581327824575,-1,-1
1,14,1,0.3507973616269375,0.28489336758173045,0.3053033100456491,0.2827483316393467,0.29819221257817224,0.7356692881851361,0.5606049940288517,0.921527049651714,0.7362439576685859,0.7844499854066042,0.7063431666886906,0.3077757482871799,0.2751590968314012,-1,0.301240761117979,0.24526510512528024,0.33509730234181806,0.3281525748801757,-1,-1
2,14,0,-1,-1,0.1999465540816779,-1,-1,-1,0.2827673947946871,-1,-1,0.25050160010979655,-1,-1,0.6396550559766117,-1,-1,0.6248292598974798,-1,-1,-1,-1
3,14,1,-1,-1,0.2745599878060808,-1,-1,-1,0.9287785458751379,-1,-1,0.833456169136832,-1,-1,0.2131280092530328,-1,-1,0.24395997525351695,-1,-1,-1,-1
0,15,0,0.8832700306629269,0.7301059007175851,0.3378584481039113,0.3192904311803455,0.33419789681845896,0.3166228694003939,0.20949011485092844,0.3704254648084976,0.3249678259022639,0.29525656894686003,0.7459159177125305,0.7957682953817415,0.7383704213988777,-1,0.6606218376497061,0.7009643419804066,0.5553151493290537,0.6648496796336945,-1,-1
1,15,1,0.3452672173460639,0.2787262940504862,0.2961288054325205,0.27354393057912413,0.29250558692042894,0.7320810619912638,0.5426795063768692,0.9176773846866543,0.7229240934448949,0.7794940814157739,0.7017894645764671,0.2994273092372803,0.25755601158670555,-1,0.29821994675834024,0.24472409816436191,0.3259232871336151,0.3175394023747199,-1,-1
2,15,0,-1,-1,0.20322175890796398,-1,-1,-1,0.2876566652204128,-1,-1,0.250607825779839,-1,-1,0.5730343478470055,-1,-1,0.6065642810956634,-1,-1,-1,-1
3,15,1,-1,-1,0.282953211282988,-1,-1,-1,0.9250946935521982,-1,-1,0.8216357808994432,-1,-1,0.2057417786714216,-1,-1,0.2407182669585029,-1,-1,-1,-1
0,16,0,0.8732520918589483,0.7248770765189517,0.28278093246039837,0.26377458565054407,0.2827556506538668,0.26338799096677096,0.13480560415720574,0.3216512387226299,0.2660528595781203,0.29236383920623804,0.7246763192563105,0.6370172586004099,0.7071967470452245,-1,0.6043516296943624,0.6780016611665771,0.537968525286774,0.6123982826977361,-1,-1
1,16,1,0.35638013723744905,0.2908393505261367,0.30398316379947243,0.28347396615161785,0.30546407975616136,0.7360581903095935,0.5061601492838705,0.9141990792214986,0.7122004908547951,0.780069046223016,0.7057045447725911,0.3083095515563784,0.2594685127651172,-1,0.3152836471933178,0.26789174918990577,0.3226941813513564,0.32060004687422705,-1,-1
2,16,0,-1,-1,0.20596549474073322,-1,-1,-1,0.29157648042593415,-1,-1,0.7941990243426968,-1,-1,0.52538987602714,-1,-1,0.5900525021792188,-1,-1,-1,-1
3,16,1,-1,-1,0.21720989972761004,-1,-1,-1,0.9054753974955914,-1,-1,0.7876545325857272,-1,-1,0.31330334025554285,-1,-1,0.15856434095991134,-1,-1,-1,-1
0,17,0,0.871771521090366,0.7193847837951554,0.27582509076076506,0.29934752269605186,0.2811080303713952,0.2609580577095803,0.10166362177258158,0.31985765836444646,0.25470343669303147,0.2893372862257743,0.7229864237836183,0.6346310260381423,0.6806549465593739,-1,0.7525430986655083,0.6774735662039157,0.5537711625348314,0.5734517534057753,-1,-1
1,17,1,0.32785608888420725,0.25734586862763353,0.2681997066592649,0.294122928798554,0.2761284952701382,0.7240826608857446,0.2284425775176304,0.8548448466267503,0.8157926485116566,0.7665971209243819,0.6937422330510727,0.2613029407471963,0.3098340154327992,-1,0.2919001848460024,0.2487340172044861,0.2701198250923176,-1,-1,-1
2,17,0,-1,-1,0.20789501128961008,-1,-1,-1,0.29352074736116496,-1,-1,0.7768383665295069,-1,-1,0.4730405976583068,-1,-1,0.576675657090918,-1,-1,-1,-1
3,17,1,-1,-1,0.22282518241488355,-1,-1,-1,0.8907916323422254,-1,-1,0.7691355555524475,-1,-1,0.32159146059181165,-1,-1,0.16523145046581006,-1,-1,-1,-1
0,18,0,0.868598429284593,0.7141718106601176,0.27743672338146447,0.30613389293239457,0.2898384933794979,0.26797107266888104,0.033264019225840706,0.3254958772173481,0.3119285230877364,0.29515281075100175,0.7254289673630304,0.6354266193796108,0.6471488882375239,-1,0.7461067723719594,0.6749715709850634,0.5546300033403773,0.5250244389777525,-1,-1
1,18,1,0.35031330570832925,0.2798320692442421,0.28792812295362996,0.3173162163849809,0.30193691498916075,0.7246301184349895,0.14720946217130118,0.8527816008280537,0.8162471421909301,0.7694107591738312,0.707102803130875,0.2708946059513925,0.33469947575012576,-1,0.3197798302186532,0.27512285667704983,0.2681465798098531,-1,-1,-1
2,18,0,-1,-1,0.20876332226271696,-1,-1,-1,0.29366141428124254,-1,-1,0.7567464134171072,-1,-1,0.8326524451663466,-1,-1,0.567656538494653,-1,-1,-1,-1
3,18,1,-1,-1,0.22712881022886167,-1,-1,-1,0.8732130918963223,-1,-1,0.7480638130449417,-1,-1,0.32952430861081977,-1,-1,0.1982194703934521,-1,-1,-1,-1
0,19,0,0.868598429284593,0.7141718106601176,0.27743672338146447,0.30613389293239457,0.2898384933794979,0.26797107266888104,0.033264019225840706,0.3254958772173481,0.3119285230877364,0.29515281075100175,0.7254289673630304,0.6354266193796108,0.6471488882375239,-1,0.7461067723719594,0.6749715709850634,0.5546300033403773,0.5250244389777525,-1,-1
