cluster_id,frame_id,z_coordinate,intensity,color_marker
1,3,-0.0943577,2.60914e+07,1
1,3,-0.0765775,6.60906e+07,1
1,3,-0.0760691,9.85443e+07,1
1,3,-0.0758316,1.16848e+08,1
1,3,-0.075694,1.23411e+08,1
1,3,-0.0756815,1.23878e+08,1
1,3,-0.0757989,1.14582e+08,1
1,3,-0.0760059,1.00107e+08,1
1,3,-0.0764617,7.08107e+07,1
1,3,-0.0597818,4.9903e+07,1
1,3,-0.0592915,9.30901e+07,1
1,3,-0.0590727,1.15213e+08,1
1,3,-0.0589567,1.22691e+08,1
1,3,-0.0589469,1.23244e+08,1
1,3,-0.059045,1.13448e+08,1
1,3,-0.0592351,9.56844e+07,1
1,3,-0.0596333,6.28783e+07,1
1,3,-0.0428892,2.85131e+07,1
1,3,-0.0424429,8.72568e+07,1
1,3,-0.0422622,1.12399e+08,1
1,3,-0.0421728,1.21946e+08,1
1,3,-0.0421659,1.22581e+08,1
1,3,-0.0422408,1.12285e+08,1
1,3,-0.0423974,9.09633e+07,1
1,3,-0.0427581,4.71843e+07,1
1,3,-0.0255218,1.77865e+08,1
1,3,-0.0253985,2.40597e+08,1
1,3,-0.025341,2.67355e+08,1
1,3,-0.0253368,2.68246e+08,1
1,3,-0.0253847,2.44091e+08,1
1,3,-0.0254913,1.89144e+08,1
1,3,-0.025754,5.93729e+07,1
1,3,-0.00852622,1.57761e+08,1
1,3,-0.00848016,2.33461e+08,1
1,3,-0.00845968,2.65427e+08,1
1,3,-0.00845827,2.67271e+08,1
1,3,-0.00847522,2.38225e+08,1
1,3,-0.008515,1.7766e+08,1
1,3,0.00854724,1.329e+08,1
1,3,0.0084944,2.25922e+08,1
1,3,0.00847261,2.63419e+08,1
1,3,0.0084712,2.65502e+08,1
1,3,0.00848913,2.32006e+08,1
1,3,0.0085332,1.57377e+08,1
1,3,0.0257572,6.83567e+07,1
1,3,0.0255268,2.18031e+08,1
1,3,0.0254574,2.61333e+08,1
1,3,0.0254531,2.63627e+08,1
1,3,0.0255099,2.25471e+08,1
1,3,0.0256833,1.25463e+08,1
1,3,0.0426387,2.02403e+08,1
1,3,0.0424994,2.58711e+08,1
1,3,0.0424891,2.6165e+08,1
1,3,0.0425962,2.17844e+08,1
1,3,0.0429753,6.45895e+07,1
1,3,0.0598336,8.34822e+07,1
1,3,0.0596038,1.16053e+08,1
1,3,0.0595835,1.18023e+08,1
1,3,0.0597667,9.17635e+07,1
1,3,0.077111,7.48364e+07,1
1,3,0.0767706,1.1353e+08,1
1,3,0.0767414,1.17718e+08,1
1,3,0.0770153,8.51708e+07,1
1,3,0.0945727,3.77944e+07,1
1,3,0.0940012,1.10387e+08,1
1,3,0.0939619,1.17323e+08,1
1,3,0.0943439,7.13512e+07,1
1,3,0.111297,1.06654e+08,1
1,3,0.111247,1.16836e+08,1
1,3,0.111922,3.86272e+07,1
1,3,0.128661,1.02909e+08,1
1,3,0.128597,1.14904e+08,1
1,3,0.146014,1.01102e+08,1
1,3,0.145939,1.1167e+08,1

2,3,-0.0689988,121.071,0
2,3,-0.068666,253.359,0
2,3,-0.0687225,234.496,0
2,3,-0.0229225,249.947,0
2,3,-0.022941,222.7,0
2,3,0.022957,245.297,0
2,3,0.0229787,207.939,0
2,3,0.068976,504.768,0
2,3,0.0690736,362.241,0
2,3,0.115137,426.582,0

3,3,-0.068721,1.77882e+07,1
3,3,-0.0686671,1.94144e+07,1
3,3,-0.0689956,9.61888e+06,1
3,3,-0.0229442,3.763e+07,1
3,3,-0.0229264,4.20396e+07,1
3,3,0.0229881,3.30194e+07,1
3,3,0.0229644,4.12909e+07,1
3,3,0.0691155,1.11232e+07,1
3,3,0.0690093,1.78195e+07,1
3,3,0.115232,1.56235e+07,1

0,4,-0.111311,983.444,0
0,4,-0.110109,2349.51,0
0,4,-0.109507,3005.15,0
0,4,-0.109238,3372.38,0
0,4,-0.109092,3571.61,0
0,4,-0.109114,3578.42,0
0,4,-0.109295,3399.23,0
0,4,-0.109594,2992.51,0
0,4,-0.11026,2255.85,0
0,4,-0.11171,541.787,0
0,4,-0.0933146,2192.14,0
0,4,-0.0927655,2953.13,0
0,4,-0.0925393,3349.34,0
0,4,-0.0924075,3556.99,0
0,4,-0.0924272,3561.11,0
0,4,-0.0925892,3366.64,0
0,4,-0.0928372,2920.84,0
0,4,-0.0934493,2076.39,0
0,4,-0.0764694,2029.98,0
0,4,-0.0760119,2883.69,0
0,4,-0.0758036,3325.57,0
0,4,-0.0756896,3545.37,0
0,4,-0.0757062,3542.94,0
0,4,-0.0758415,3314.16,0
0,4,-0.0760734,2835.32,0
0,4,-0.0765853,1892.57,0
0,4,-0.0596221,791.275,0
0,4,-0.0592252,1262.75,0
0,4,-0.0590376,1490.34,0
0,4,-0.0589425,1606.72,0
0,4,-0.0589554,1601.38,0
0,4,-0.0590669,1488.97,0
0,4,-0.0592793,1214.62,0
0,4,-0.0597618,694.048,0
0,4,-0.0427365,594.429,0
0,4,-0.0423822,1215.06,0
0,4,-0.0422291,1464.63,0
0,4,-0.0421563,1601.23,0
0,4,-0.0421655,1591.82,0
0,4,-0.0422505,1473.29,0
0,4,-0.0424258,1132.02,0
0,4,-0.042858,479.518,0
0,4,-0.0257327,388.264,0
0,4,-0.0254773,1165.04,0
0,4,-0.0253738,1437.41,0
0,4,-0.0253274,1592.44,0
0,4,-0.0253327,1581.87,0
0,4,-0.0253869,1457.17,0
0,4,-0.0255064,1044.15,0
0,4,-0.00850866,1100.46,0
0,4,-0.00847032,1408.75,0
0,4,-0.00845394,1583.14,0
0,4,-0.00845559,1571.54,0
0,4,-0.00847496,1423.71,0
0,4,-0.00851938,952.154,0
0,4,0.00852519,979.37,0
0,4,0.00848294,1378.76,0
0,4,0.00846565,1573.32,0
0,4,0.0084672,1560.83,0
0,4,0.00848801,1374.98,0
0,4,0.00853692,857.34,0
0,4,0.0256313,838.021,0
0,4,0.0254874,1347.55,0
0,4,0.0254328,1563.01,0
0,4,0.0254372,1549.75,0
0,4,0.0255039,1322.83,0
0,4,0.025696,676.804,0
0,4,0.0428722,585.076,0
0,4,0.0425447,1318.77,0
0,4,0.042449,1552.21,0
0,4,0.0424558,1538.31,0
0,4,0.0425789,1263.48,0
0,4,0.0430041,293.432,0
0,4,0.0596736,2728.35,0
0,4,0.0595148,3339.22,0
0,4,0.0595327,3296.03,0
0,4,0.0597378,2495.19,0
0,4,0.0768784,2514.54,0
0,4,0.0766365,3238.99,0
0,4,0.0766671,3186.42,0
0,4,0.076972,2163.74,0
0,4,0.0941552,2274.73,0
0,4,0.0938172,3114.79,0
0,4,0.09386,3058.36,0
0,4,0.0942836,1799.51,0
0,4,0.111506,1804.17,0
0,4,0.111056,2972.27,0
0,4,0.111113,2912.91,0
0,4,0.111801,1209.57,0
0,4,0.12913,757.36,0
0,4,0.128354,2813.09,0
0,4,0.128428,2751.84,0
0,4,0.145714,2639.62,0
0,4,0.145806,2477.88,0
0,4,0.163529,1174.24,0
0,4,0.163783,579.182,0

1,4,-0.111456,2.79149e+07,1
1,4,-0.110146,7.95169e+07,1
1,4,-0.109507,1.06586e+08,1
1,4,-0.109201,1.18964e+08,1
1,4,-0.109035,1.24778e+08,1
1,4,-0.109017,1.24995e+08,1
